Place,Competitor,DOB,Nationality,Score,Date,res,city
989, Shunpei ODA,23 DEC 1995, JPN, 1025, 02 JUL 2023,AUS,Gold Coast
989, Shunpei ODA,23 DEC 1995, JPN, 1025, 19 MAR 2023,JPN,Tokushima
989, Shunpei ODA,23 DEC 1995, JPN, 1025, 29 JAN 2023,JPN,Osaka Half Marathon Course
990, Shadrack KIMAIYO,1992, KEN, 1025, 23 APR 2023,SRB,Beograd
991, Jumpei YAMAGUCHI,05 FEB 1997, JPN, 1025, 03 DEC 2023,JPN,Fukuoka
991, Jumpei YAMAGUCHI,05 FEB 1997, JPN, 1025, 15 OCT 2023,JPN,Tokyo
992, Abdenasir FATHI,20 MAY 1987, MAR, 1024, 30 APR 2023,MAR,Rabat
993, Yao ZHANG,04 JUL 2003, CHN, 1024, 17 DEC 2023,CHN,Fuzhou
993, Yao ZHANG,04 JUL 2003, CHN, 1024, 22 APR 2023,CHN,Qingdao
994, Hibiki TSUBOI,11 SEP 1996, JPN, 1024, 15 OCT 2023,JPN,Tokyo
994, Hibiki TSUBOI,11 SEP 1996, JPN, 1024, 21 MAY 2023,JPN,Kanseki Stadium
994, Hibiki TSUBOI,11 SEP 1996, JPN, 1024, 30:23.26 ,JPN,65th East Japan Corporate Athletics Championships
994, Hibiki TSUBOI,11 SEP 1996, JPN, 1024, 19 FEB 2023,JPN,Ohme
994, Hibiki TSUBOI,11 SEP 1996, JPN, 1024, 12 FEB 2023,JPN,Ishin Me-Life Stadium
995, Keita SHITARA,18 DEC 1991, JPN, 1024, 05 MAR 2023,JPN,Tokyo
995, Keita SHITARA,18 DEC 1991, JPN, 1024, 05 FEB 2023,JPN,Marugame
996, Chia-Che CHANG,22 APR 1983, TPE, 1024, 03 DEC 2023,ESP,Valencia
996, Chia-Che CHANG,22 APR 1983, TPE, 1024, 16 APR 2023,NED,Rotterdam
997, Zuohua XIAO,15 SEP 2000, CHN, 1024, 03 DEC 2023,CHN,Nanning
997, Zuohua XIAO,15 SEP 2000, CHN, 1024, 12 NOV 2023,CHN,Nanchang
997, Zuohua XIAO,15 SEP 2000, CHN, 1024, 29 OCT 2023,CHN,Beijing
997, Zuohua XIAO,15 SEP 2000, CHN, 1024, 24 SEP 2023,CHN,Hengshui
997, Zuohua XIAO,15 SEP 2000, CHN, 1024, 27 AUG 2023,CHN,Harbin
997, Zuohua XIAO,15 SEP 2000, CHN, 1024, 11 JUN 2023,CHN,Lanzhou
997, Zuohua XIAO,15 SEP 2000, CHN, 1024, 19 MAR 2023,CHN,Chongqing
998, Rahal BOUCHFAR,01 APR 2000, MAR, 1023, DNF ,Complexe Sportif Prince Moulay Abdellah,Moroccan Championships
998, Rahal BOUCHFAR,01 APR 2000, MAR, 1023, 08 JUL 2023,MAR,Complexe Sportif Prince Moulay Abdellah
998, Rahal BOUCHFAR,01 APR 2000, MAR, 1023, 21 MAY 2023,MAR,Tiflet
998, Rahal BOUCHFAR,01 APR 2000, MAR, 1023, 29:40.68 ,MAR,3ème Meeting Fédéral
998, Rahal BOUCHFAR,01 APR 2000, MAR, 1023, 29 JAN 2023,MAR,Marrakech
999, Robert SWOBODA,17 SEP 1998, USA, 1023, 03 DEC 2023,USA,Sacramento
999, Robert SWOBODA,17 SEP 1998, USA, 1023, 30:08.94 ,USA,Portland Track Festival - High Performance
999, Robert SWOBODA,17 SEP 1998, USA, 1023, 07 MAY 2023,WA,Spokane
999, Robert SWOBODA,17 SEP 1998, USA, 1023, 28 APR 2023,WA,Oregon State Whyte Track and Field Center
1000, Olonbayar JAMSRAN,01 AUG 1993, MGL, 1023, 05 OCT 2023,CHN,Qiantang River Green Belt
1000, Olonbayar JAMSRAN,01 AUG 1993, MGL, 1023, 27 AUG 2023,Hősök tere,Budapest 2023
1000, Olonbayar JAMSRAN,01 AUG 1993, MGL, 1023, 16 APR 2023,CHN,Shanghai
1000, Olonbayar JAMSRAN,01 AUG 1993, MGL, 1023, 19 MAR 2023,KOR,Seoul
1000, Olonbayar JAMSRAN,01 AUG 1993, MGL, 1023, 26 FEB 2023,JPN,Osaka
1001, Oscar MEDINA,14 AUG 1992, USA, 1023, 03 DEC 2023,USA,Sacramento
1001, Oscar MEDINA,14 AUG 1992, USA, 1023, 08 OCT 2023,USA,Chicago
1002, Ketema BEHAILU,19 MAR 1994, ETH, 1022, 17 MAR 2023,Djibouti,Stade Gouled
1003, Wanjiang CEN,29 SEP 1987, CHN, 1022, 04 AUG 2024,CHN,Liupanshui
1003, Wanjiang CEN,29 SEP 1987, CHN, 1022, 23 JUN 2024,CHN,Zhenning
1003, Wanjiang CEN,29 SEP 1987, CHN, 1022, 16 JUN 2024,CHN,Guiyang
1003, Wanjiang CEN,29 SEP 1987, CHN, 1022, 21 APR 2024,CHN,Huai'an
1004, Stanley LINTON,21 DEC 1993, USA, 1022, 14 OCT 2023,USA,Valley Cottage
1004, Stanley LINTON,21 DEC 1993, USA, 1022, 04 SEP 2023,USA,New Haven
1004, Stanley LINTON,21 DEC 1993, USA, 1022, 17 JUN 2023,USA,Duluth
1004, Stanley LINTON,21 DEC 1993, USA, 1022, 21 JAN 2023,VA - XC 10.0km,Pole Green Park
1004, Stanley LINTON,21 DEC 1993, USA, 1022, 15 JAN 2023,USA,Houston
1005, Gerd DEVOS,02 JAN 1989, BEL, 1022, 08 OCT 2023,NED,Eindhoven - Belgian Marathon Ch
1005, Gerd DEVOS,02 JAN 1989, BEL, 1022, 24 SEP 2023,NED,Tilburg
1005, Gerd DEVOS,02 JAN 1989, BEL, 1022, 16 APR 2023,NED,Enschede
1005, Gerd DEVOS,02 JAN 1989, BEL, 1022, 12 MAR 2023,BEL,Gent - Belgian Half Marathon Ch
1006, Dereje ADUGNA,02 JUN 2000, ETH, 1021, 05 NOV 2023,POR,Porto
1007, Jiahao WANG,06 JUL 2000, CHN, 1021, 29 OCT 2023,CHN,Beijing
1007, Jiahao WANG,06 JUL 2000, CHN, 1021, 16 APR 2023,CHN,Wuhan
1008, Abebe SEYOUM,, ETH, 1021, 16 DEC 2023,UAE,Abu Dhabi
1008, Abebe SEYOUM,, ETH, 1021, 09 APR 2023,CHN,Nanjing
1009, João VALENTE,26 SEP 1993, POR, 1021, 20 OCT 2024,ESP,Leiria
1009, João VALENTE,26 SEP 1993, POR, 1021, 07 APR 2024,ESP,Braga
1009, João VALENTE,26 SEP 1993, POR, 1021, 17 MAR 2024,POR,Lisboa - Elite Event
1009, João VALENTE,26 SEP 1993, POR, 1021, 14 JAN 2024,GER,Tomar
1010, Alexander LAWRENCE,, GBR, 1021, 14 MAY 2023,DEN,København
1011, Qujie LUOSANG,26 DEC 2002, CHN, 1021, 16 JUL 2023,CHN,Liupanshui
1011, Qujie LUOSANG,26 DEC 2002, CHN, 1021, DNF ,Rizhao,2nd National Grand Prix
1011, Qujie LUOSANG,26 DEC 2002, CHN, 1021, 26 APR 2023,CHN,Rizhao
1011, Qujie LUOSANG,26 DEC 2002, CHN, 1021, 31:03.42 ,CHN,Southwest China Regional Invitation Meeting
1011, Qujie LUOSANG,26 DEC 2002, CHN, 1021, 07 APR 2023,CHN,Sichuan Xipu Training Base
1011, Qujie LUOSANG,26 DEC 2002, CHN, 1021, 01 MAR 2023,CHN,Sichuan Xipu Training Base
1011, Qujie LUOSANG,26 DEC 2002, CHN, 1021, 27 FEB 2023,CHN,Sichuan Xipu Training Base
1011, Qujie LUOSANG,26 DEC 2002, CHN, 1021, 25 FEB 2023,CHN,Sichuan Xipu Training Base
1011, Qujie LUOSANG,26 DEC 2002, CHN, 1021, 24 FEB 2023,CHN,Sichuan Xipu Training Base
1012, Dorian MARCHAL,1995, FRA, 1021, 03 DEC 2023,ESP,Valencia
1012, Dorian MARCHAL,1995, FRA, 1021, 16 APR 2023,NED,Rotterdam
1013, Sascha VAN STAA,11 MAR 1992, GER, 1021, 29 SEP 2024,GER,Berlin
1013, Sascha VAN STAA,11 MAR 1992, GER, 1021, 15 SEP 2024,GER,Hamburg
1013, Sascha VAN STAA,11 MAR 1992, GER, 1021, 04 AUG 2024,GER,Stadion am Schlosspark
1013, Sascha VAN STAA,11 MAR 1992, GER, 1021, 30 MAR 2024,GER,Paderborn
1014, Alvaro ABREU MARTIN,21 JUL 1990, DOM, 1020, 22 OCT 2023,CHI,Santiago de Chile
1014, Alvaro ABREU MARTIN,21 JUL 1990, DOM, 1020, 02 JUL 2023,ESA,San Salvador
1014, Alvaro ABREU MARTIN,21 JUL 1990, DOM, 1020, 16 APR 2023,PUR,San Juan
1014, Alvaro ABREU MARTIN,21 JUL 1990, DOM, 1020, 25 MAR 2023,PUR,Rockland Lake State Park
1014, Alvaro ABREU MARTIN,21 JUL 1990, DOM, 1020, 15 JAN 2023,USA,Houston
1015, Seyfu JAMAAL,05 NOV 2000, GBR, 1020, 24 SEP 2023,GER,Berlin
1015, Seyfu JAMAAL,05 NOV 2000, GBR, 1020, 30:06.79 ,GER,Night of the 10
1016, Charlie SWEENEY,16 JAN 1999, USA, 1019, 03 DEC 2023,USA,Sacramento
1016, Charlie SWEENEY,16 JAN 1999, USA, 1019, 26 MAY 2023,USA,Hornet Stadium - Sac St
1016, Charlie SWEENEY,16 JAN 1999, USA, 1019, 28:46.48 ,USA,NCAA Division I West First Rounds
1016, Charlie SWEENEY,16 JAN 1999, USA, 1019, 14 MAY 2023,USA,Hilmer Lodge Stadium
1016, Charlie SWEENEY,16 JAN 1999, USA, 1019, 29:12.70 ,USA,Pac 12 Men's and Women's Track and Field Championships
1016, Charlie SWEENEY,16 JAN 1999, USA, 1019, 14 APR 2023,USA,Cougar Athletic Stadium
1016, Charlie SWEENEY,16 JAN 1999, USA, 1019, 28:28.05 ,USA,Stanford Invitational
1016, Charlie SWEENEY,16 JAN 1999, USA, 1019, 24 FEB 2023,USA,Dempsey Indoor
1016, Charlie SWEENEY,16 JAN 1999, USA, 1019, 10 FEB 2023,USA,Dempsey Indoor
1017, Martin HEHIR,19 DEC 1992, USA, 1019, 14 OCT 2023,USA,Valley Cottage
1018, Kevin MCDONNELL,30 OCT 1989, USA, 1019, 06 OCT 2024,USA,St. Paul
1018, Kevin MCDONNELL,30 OCT 1989, USA, 1019, 26 APR 2024,USA,Cobb Track and Angell Field
1018, Kevin MCDONNELL,30 OCT 1989, USA, 1019, 12 APR 2024,USA,Morris Williams T&F Stadium
1018, Kevin MCDONNELL,30 OCT 1989, USA, 1019, 03 FEB 2024,USA,Orlando
1018, Kevin MCDONNELL,30 OCT 1989, USA, 1019, 14 JAN 2024,USA,Houston
1019, Michael BLASZCZYK,23 JUL 1992, USA, 1019, 03 DEC 2023,USA,Sacramento
1019, Michael BLASZCZYK,23 JUL 1992, USA, 1019, 17 JUN 2023,USA,Duluth
1020, Wilfred NYATOGO,, KEN, 1019, 19 NOV 2023,MEX,Monterrey
1020, Wilfred NYATOGO,, KEN, 1019, 22 OCT 2023,MEX,Juárez
1020, Wilfred NYATOGO,, KEN, 1019, 24 SEP 2023,MEX,León
1020, Wilfred NYATOGO,, KEN, 1019, 26 MAR 2023,MEX,Zapopán
1021, Shiqing FAN,14 DEC 1996, CHN, 1019, 17 DEC 2023,CHN,Hangzhou
1021, Shiqing FAN,14 DEC 1996, CHN, 1019, 11 JUN 2023,CHN,Jilin
1021, Shiqing FAN,14 DEC 1996, CHN, 1019, 30 APR 2023,CHN,Yichang
1021, Shiqing FAN,14 DEC 1996, CHN, 1019, 16 APR 2023,CHN,Wuhan
1022, Dominic JONES,1993, GBR, 1019, 03 DEC 2023,ESP,Valencia
1022, Dominic JONES,1993, GBR, 1019, 01 OCT 2023,GBR,Cardiff
1023, Jared WARD,09 SEP 1988, USA, 1018, 24 SEP 2023,GER,Berlin
1023, Jared WARD,09 SEP 1988, USA, 1018, 04 SEP 2023,USA,New Haven
1023, Jared WARD,09 SEP 1988, USA, 1018, 07 MAY 2023,USA,Pittsburgh
1023, Jared WARD,09 SEP 1988, USA, 1018, 26 FEB 2023,USA,Fort Worth
1023, Jared WARD,09 SEP 1988, USA, 1018, 21 JAN 2023,VA - XC 10.0km,Pole Green Park
1024, Hyun-su SHIN,17 AUG 1991, KOR, 1018, 22 OCT 2023,KOR,Gyeongju
1024, Hyun-su SHIN,17 AUG 1991, KOR, 1018, 30:20.37 ,KOR,104th National Sports Festival
1024, Hyun-su SHIN,17 AUG 1991, KOR, 1018, 30:18.97 ,KOR,Korean Championships
1024, Hyun-su SHIN,17 AUG 1991, KOR, 1018, 31:09.70 ,KOR,2023 Yecheon KTFL Athletics Meeting
1025, Daigo TOMIMURA,01 JAN 2003, JPN, 1017, 19 FEB 2023,JPN,Ohme
1026, Julien NAVARRO,19 SEP 1988, FRA, 1017, 03 DEC 2023,ESP,Valencia
1026, Julien NAVARRO,19 SEP 1988, FRA, 1017, 29 OCT 2023,FRA,Cassis
1026, Julien NAVARRO,19 SEP 1988, FRA, 1017, 26 MAR 2023,FRA,Houilles
1026, Julien NAVARRO,19 SEP 1988, FRA, 1017, 19 FEB 2023,ESP,Sevilla
1027, T-Roy BROWN,1992, USA, 1017, 03 DEC 2023,ESP,Valencia
1027, T-Roy BROWN,1992, USA, 1017, 15 OCT 2023,SUI,Piazza Grande
1027, T-Roy BROWN,1992, USA, 1017, 14 MAY 2023,DEN,København
1028, Daiki HATANAKA,19 FEB 1995, JPN, 1017, 29:53.25 ,DEN,4th Chugoku Corporate Long Distance Challenge
1028, Daiki HATANAKA,19 FEB 1995, JPN, 1017, 20 MAY 2023,JPN,Municipal Stadium
1028, Daiki HATANAKA,19 FEB 1995, JPN, 1017, 29:49.17 ,JPN,62nd Chugoku Corporate Athletics Championship
1028, Daiki HATANAKA,19 FEB 1995, JPN, 1017, 29:55.16 ,JPN,1st Chugoku Corporate Long Distance Challenge
1028, Daiki HATANAKA,19 FEB 1995, JPN, 1017, 26 FEB 2023,JPN,Osaka
1029, Anthony TOMSICH,1987, USA, 1017, 03 DEC 2023,ESP,Valencia
1029, Anthony TOMSICH,1987, USA, 1017, 24 SEP 2023,GER,Berlin
1029, Anthony TOMSICH,1987, USA, 1017, 10 SEP 2023,GER,Bad Liebenzell
1029, Anthony TOMSICH,1987, USA, 1017, 17 JUN 2023,GER,Städtisches Stadion
1029, Anthony TOMSICH,1987, USA, 1017, 14 MAY 2023,GER,Schönbuchstadion
1029, Anthony TOMSICH,1987, USA, 1017, 17 APR 2023,USA,Boston
1029, Anthony TOMSICH,1987, USA, 1017, 26 MAR 2023,GER,Freiburg
1030, Ruben SANSOM,13 NOV 1997, NED, 1017, 26 NOV 2023,NED,Tilburg - XC 10.0km
1030, Ruben SANSOM,13 NOV 1997, NED, 1017, 19 NOV 2023,NED,Nijmegen
1030, Ruben SANSOM,13 NOV 1997, NED, 1017, 01 OCT 2023,NED,Breda
1030, Ruben SANSOM,13 NOV 1997, NED, 1017, 16 APR 2023,NED,Rotterdam
1030, Ruben SANSOM,13 NOV 1997, NED, 1017, 26 MAR 2023,POL,Warszawa
1031, Ronald SCHRÖER,28 SEP 1984, NED, 1016, 03 DEC 2023,NED,Heerenberg
1031, Ronald SCHRÖER,28 SEP 1984, NED, 1016, 15 OCT 2023,NED,Amsterdam
1031, Ronald SCHRÖER,28 SEP 1984, NED, 1016, 16 APR 2023,NED,Rotterdam
1032, Scott NELSON,18 NOV 1995, USA, 1016, 03 DEC 2023,USA,Sacramento
1032, Scott NELSON,18 NOV 1995, USA, 1016, 05 NOV 2023,USA,New York
1032, Scott NELSON,18 NOV 1995, USA, 1016, 08 OCT 2023,USA,Chicago
1032, Scott NELSON,18 NOV 1995, USA, 1016, 02 APR 2023,USA,Washington Monument Grounds
1032, Scott NELSON,18 NOV 1995, USA, 1016, 19 MAR 2023,USA,New York
1033, Johnny HOGUE,07 DEC 1995, USA, 1016, 03 DEC 2023,USA,Sacramento
1033, Johnny HOGUE,07 DEC 1995, USA, 1016, 17 JUN 2023,USA,Duluth
1034, Duriel HARDY,22 FEB 1988, USA, 1016, 03 DEC 2023,USA,Sacramento
1034, Duriel HARDY,22 FEB 1988, USA, 1016, 14 OCT 2023,USA,Valley Cottage
1035, Ilie Alexandru CORNESCHI,17 JUL 1991, ROU, 1015, 12 NOV 2023,GRE,Athina - Balkan Marathon Ch
1035, Ilie Alexandru CORNESCHI,17 JUL 1991, ROU, 1015, 22 OCT 2023,ROU,Timisoara
1035, Ilie Alexandru CORNESCHI,17 JUL 1991, ROU, 1015, 15 OCT 2023,ROU,Bucureşti
1035, Ilie Alexandru CORNESCHI,17 JUL 1991, ROU, 1015, 27 AUG 2023,Hősök tere,Budapest 2023
1035, Ilie Alexandru CORNESCHI,17 JUL 1991, ROU, 1015, 14 MAY 2023,ROU,Bucureşti
1035, Ilie Alexandru CORNESCHI,17 JUL 1991, ROU, 1015, 31:10.40 ,ROU,Romanian 10
1035, Ilie Alexandru CORNESCHI,17 JUL 1991, ROU, 1015, 19 FEB 2023,ESP,Sevilla
1035, Ilie Alexandru CORNESCHI,17 JUL 1991, ROU, 1015, 29 JAN 2023,ESP,Sevilla
1035, Callum HAWKINS,22 JUN 1992, GBR, 1015, 27 AUG 2023,GBR,Larne
1037, Jae-min KIM,25 DEC 1990, KOR, 1015, 15 OCT 2023,KOR,Mokpo
1037, Jae-min KIM,25 DEC 1990, KOR, 1015, 31:59.47 ,KOR,52nd National Division Athletics Championships
1037, Jae-min KIM,25 DEC 1990, KOR, 1015, 09 JUL 2023,KOR,Iksan Stadium
1037, Jae-min KIM,25 DEC 1990, KOR, 1015, 07 JUL 2023,KOR,Iksan Stadium
1037, Jae-min KIM,25 DEC 1990, KOR, 1015, 25 JUN 2023,KOR,Jeongseon Sports Complex
1037, Jae-min KIM,25 DEC 1990, KOR, 1015, 24 JUN 2023,KOR,Jeongseon Sports Complex
1037, Jae-min KIM,25 DEC 1990, KOR, 1015, 15 JUN 2023,KOR,Naju Sports Complex
1037, Jae-min KIM,25 DEC 1990, KOR, 1015, 31:40.95 ,KOR,27th National Club Athletics Championships
1037, Jae-min KIM,25 DEC 1990, KOR, 1015, 13 JUN 2023,KOR,Naju Sports Complex
1037, Jae-min KIM,25 DEC 1990, KOR, 1015, 25 MAY 2023,KOR,Yecheon Stadium
1037, Jae-min KIM,25 DEC 1990, KOR, 1015, 30:56.52 ,KOR,2023 Yecheon KTFL Athletics Meeting
1037, Jae-min KIM,25 DEC 1990, KOR, 1015, 09 APR 2023,KOR,Gunsan
1037, Jae-min KIM,25 DEC 1990, KOR, 1015, 31 MAR 2023,KOR,Iksan Stadium
1037, Jae-min KIM,25 DEC 1990, KOR, 1015, 31:25.58 ,KOR,2023 Iksan KTFL National Club Meeting
1037, Jae-min KIM,25 DEC 1990, KOR, 1015, 29 MAR 2023,KOR,Iksan Stadium
1037, Jae-min KIM,25 DEC 1990, KOR, 1015, 26 MAR 2023,KOR,Incheon
1038, Huawei CHEN,12 APR 1996, CHN, 1015, 31 DEC 2023,CHN,Shenzhen
1038, Huawei CHEN,12 APR 1996, CHN, 1015, 10 DEC 2023,CHN,Guangzhou
1038, Huawei CHEN,12 APR 1996, CHN, 1015, 27 AUG 2023,CHN,Harbin
1038, Huawei CHEN,12 APR 1996, CHN, 1015, 11 JUN 2023,CHN,Jilin
1038, Huawei CHEN,12 APR 1996, CHN, 1015, 16 APR 2023,CHN,Yangzhou
1039, Jonatan VENEMA,12 NOV 2001, NED, 1014, 26 NOV 2023,NED,Tilburg - XC 10.0km
1039, Jonatan VENEMA,12 NOV 2001, NED, 1014, 11 NOV 2023,Cardiff - XC 9.6km,Llandaff Fields
1039, Jonatan VENEMA,12 NOV 2001, NED, 1014, 03 SEP 2023,NED,Rotterdam
1039, Jonatan VENEMA,12 NOV 2001, NED, 1014, 26 FEB 2023,NED,Nijverdal - XC 10.945
1040, Takuya KITASAKI,05 MAR 1999, JPN, 1014, 28:51.79 ,NED,Japan 10
1040, Takuya KITASAKI,05 MAR 1999, JPN, 1014, 01 OCT 2023,GBR,Cardiff
1040, Takuya KITASAKI,05 MAR 1999, JPN, 1014, 15 JUL 2023,JPN,Aoba Park Athletic Field
1040, Takuya KITASAKI,05 MAR 1999, JPN, 1014, 29:22.64 ,JPN,Hokuren Distance Challenge 2023 - Abashiri
1040, Takuya KITASAKI,05 MAR 1999, JPN, 1014, 10 JUN 2023,JPN,NITTAIDAI Athletic Stadium
1040, Takuya KITASAKI,05 MAR 1999, JPN, 1014, 28:42.99 ,JPN,67th Kansai Inter-Corporate Track & Field Championships
1040, Takuya KITASAKI,05 MAR 1999, JPN, 1014, 12 FEB 2023,JPN,Ishin Me-Life Stadium
1041, Naoto HASHIMOTO,05 JUN 1999, JPN, 1014, 28:24.19 ,JPN,Hachioji Long Distance
1041, Naoto HASHIMOTO,05 JUN 1999, JPN, 1014, 15 OCT 2023,JPN,Tokyo
1041, Naoto HASHIMOTO,05 JUN 1999, JPN, 1014, DNF ,Nagaragawa Stadium,71st All Japan Corporate Teams Athletics Championships
1041, Naoto HASHIMOTO,05 JUN 1999, JPN, 1014, 29:22.14 ,Nagaragawa Stadium,Hokuren Distance Challenge - Fukagawa
1041, Naoto HASHIMOTO,05 JUN 1999, JPN, 1014, 13 MAY 2023,JPN,Naruto Sports Park
1041, Naoto HASHIMOTO,05 JUN 1999, JPN, 1014, 28:55.04 ,JPN,67th Kansai Inter-Corporate Track & Field Championships
1041, Naoto HASHIMOTO,05 JUN 1999, JPN, 1014, 04 MAY 2023,JPN,Nishishina Athletic Stadium
1041, Naoto HASHIMOTO,05 JUN 1999, JPN, 1014, 29:08.81 ,JPN,31st Kanakuri Memorial Middle and Long Distance Invitational Meet
1041, Naoto HASHIMOTO,05 JUN 1999, JPN, 1014, 19 FEB 2023,JPN,Ohme
1041, Naoto HASHIMOTO,05 JUN 1999, JPN, 1014, 05 FEB 2023,JPN,Marugame
1042, Josep GOMEZ,, ESP, 1014, 03 DEC 2023,ESP,Valencia
1042, Josep GOMEZ,, ESP, 1014, 22 OCT 2023,ESP,Valencia
1042, Josep GOMEZ,, ESP, 1014, 15 JAN 2023,ESP,Valencia
1043, Ignas BRASEVIČIUS,21 SEP 1984, LTU, 1014, 24 SEP 2023,GER,Berlin
1043, Ignas BRASEVIČIUS,21 SEP 1984, LTU, 1014, 19 FEB 2023,ESP,Barcelona
1044, Juni LEE,15 APR 1998, KOR, 1014, 15 OCT 2023,KOR,Mokpo
1044, Juni LEE,15 APR 1998, KOR, 1014, 09 SEP 2023,KOR,Seocheon Sports Complex
1044, Juni LEE,15 APR 1998, KOR, 1014, 07 JUL 2023,KOR,Iksan Stadium
1044, Juni LEE,15 APR 1998, KOR, 1014, 15 JUN 2023,KOR,Naju Sports Complex
1044, Juni LEE,15 APR 1998, KOR, 1014, 25 MAY 2023,KOR,Yecheon Stadium
1044, Juni LEE,15 APR 1998, KOR, 1014, 31:15.69 ,KOR,2023 Yecheon KTFL Athletics Meeting
1045, Gianluca FERRATO,19 SEP 1993, ITA, 1014, 19 NOV 2023,ITA,Verona
1045, Gianluca FERRATO,19 SEP 1993, ITA, 1014, 15 OCT 2023,ITA,Telese Terme
1045, Gianluca FERRATO,19 SEP 1993, ITA, 1014, 10 SEP 2023,ITA,Pescara
1045, Gianluca FERRATO,19 SEP 1993, ITA, 1014, 12 MAR 2023,ITA,Gubbio - XC 10.0km
1045, Gianluca FERRATO,19 SEP 1993, ITA, 1014, 08 JAN 2023,FRA,Nice
1046, Nick WOLK,11 APR 1998, USA, 1014, 14 OCT 2023,USA,Valley Cottage
1046, Nick WOLK,11 APR 1998, USA, 1014, 29 JUL 2023,USA,Cleveland
1046, Nick WOLK,11 APR 1998, USA, 1014, 07 MAY 2023,USA,Pittsburgh
1046, Nick WOLK,11 APR 1998, USA, 1014, 25 MAR 2023,USA,Rockland Lake State Park
1047, Manuel DE BACKER,14 JUL 1996, NED, 1014, 15 OCT 2023,NED,Amsterdam
1047, Manuel DE BACKER,14 JUL 1996, NED, 1014, 01 OCT 2023,NED,Breda - Dutch Half Marathon Ch
1047, Manuel DE BACKER,14 JUL 1996, NED, 1014, 17 SEP 2023,NED,Zaandam
1047, Manuel DE BACKER,14 JUL 1996, NED, 1014, 05 AUG 2023,BEL,Oscar van Rumst Stadion
1047, Manuel DE BACKER,14 JUL 1996, NED, 1014, 07 MAY 2023,BEL,Gerard Bontinckstadion
1047, Manuel DE BACKER,14 JUL 1996, NED, 1014, 16 APR 2023,NED,Rotterdam
1047, Manuel DE BACKER,14 JUL 1996, NED, 1014, 26 MAR 2023,NED,Venlo
1047, Manuel DE BACKER,14 JUL 1996, NED, 1014, 12 FEB 2023,NED,Schoorl
1048, Kazuma KUBO,09 DEC 1996, JPN, 1013, 15 OCT 2023,JPN,Tokyo
1048, Kazuma KUBO,09 DEC 1996, JPN, 1013, 04 MAY 2023,JPN,Nishishina Athletic Stadium
1048, Kazuma KUBO,09 DEC 1996, JPN, 1013, 29:13.83 ,JPN,71st Hyogo Relay Carnival
1048, Kazuma KUBO,09 DEC 1996, JPN, 1013, 29 JAN 2023,JPN,Osaka Half Marathon Course
1049, Pradep SINGH CHAUDHARY,06 JUN 1990, IND, 1013, 06 OCT 2024,IND,Bengaluru
1049, Pradep SINGH CHAUDHARY,06 JUN 1990, IND, 1013, 25 FEB 2024,IND,New Delhi
1050, Charlie LAWRENCE,24 MAR 1995, USA, 1013, 14 OCT 2023,USA,Valley Cottage
1050, Charlie LAWRENCE,24 MAR 1995, USA, 1013, 04 SEP 2023,USA,New Haven
1050, Charlie LAWRENCE,24 MAR 1995, USA, 1013, 17 JUN 2023,USA,Duluth
1050, Charlie LAWRENCE,24 MAR 1995, USA, 1013, 07 MAY 2023,WA,Spokane
1050, Charlie LAWRENCE,24 MAR 1995, USA, 1013, 30:18.85 ,WA,Bryan Clay Invitational
1051, Jackson NEFF,09 JUL 1992, USA, 1013, 04 SEP 2023,USA,New Haven
1052, Menad LAMRANI,18 JAN 1996, ALG, 1013, 22 OCT 2023,FRA,Rennes
1052, Menad LAMRANI,18 JAN 1996, ALG, 1013, 08 OCT 2023,FRA,Marchiennes
1052, Menad LAMRANI,18 JAN 1996, ALG, 1013, 28 MAY 2023,FRA,Les Sables d'Olonne
1052, Menad LAMRANI,18 JAN 1996, ALG, 1013, 19 MAR 2023,FRA,Lille
1053, Ramazan ÖZDEMIR,06 JUL 1991, TUR, 1013, 17 DEC 2023,TUR,Gaziantep
1053, Ramazan ÖZDEMIR,06 JUL 1991, TUR, 1013, 10 DEC 2023,TUR,Mersin
1053, Ramazan ÖZDEMIR,06 JUL 1991, TUR, 1013, 06 SEP 2023,TUR,Seha Aksoy Atletizm Pisti
1053, Ramazan ÖZDEMIR,06 JUL 1991, TUR, 1013, 05 SEP 2023,TUR,Seha Aksoy Atletizm Pisti
1053, Ramazan ÖZDEMIR,06 JUL 1991, TUR, 1013, 08 JUL 2023,TUR,Atıcılar Atletizm Sahası
1053, Ramazan ÖZDEMIR,06 JUL 1991, TUR, 1013, 05 JUL 2023,TUR,Seha Aksoy Atletizm Pisti
1053, Ramazan ÖZDEMIR,06 JUL 1991, TUR, 1013, 04 JUL 2023,TUR,Seha Aksoy Atletizm Pisti
1053, Ramazan ÖZDEMIR,06 JUL 1991, TUR, 1013, 25 JUN 2023,POL,Stadion Śląski
1053, Ramazan ÖZDEMIR,06 JUL 1991, TUR, 1013, 29:15.67 ,POL,European 10
1053, Ramazan ÖZDEMIR,06 JUL 1991, TUR, 1013, 28:28.48 ,POL,Turkish 10
1053, Ramazan ÖZDEMIR,06 JUL 1991, TUR, 1013, 30 APR 2023,TUR,Istanbul - Turkish Half Marathon Ch
1054, Reyes ESTÉVEZ,02 AUG 1976, ESP, 1013, 06 APR 2024,ESP,Crevillente
